"","pairs","Df","SumsOfSqs","F.Model","R2","p.value","p.adjusted","sig"
"179","Petrosia (Petrosia) aff. elephantotus vs Xestospongia mamillata",1,1.38919605374337,9.4110155611782,0.419928116844493,0.003,0.63,""
"180","Petrosia (Petrosia) aff. elephantotus vs Xestospongia viridenigra",1,2.94201688323301,27.1941517415541,0.629579483451055,0.001,0.21,""
"181","Petrosia (Petrosia) aff. elephantotus vs Petrosia (Petrosia) lignosa",1,1.56816897848137,12.3049891785922,0.486267316367878,0.001,0.21,""
"182","Petrosia (Petrosia) aff. elephantotus vs Neopetrosia ovata",1,2.51245453971818,20.3293404026547,0.575423717820872,0.001,0.21,""
"183","Xestospongia muta vs Petrosia (Petrosia) nova spec Curacao",1,1.47961293046343,8.47496373954354,0.245829518591272,0.001,0.21,""
"184","Xestospongia muta vs Neopetrosia eurystomata",1,2.92630424984641,19.1571621212606,0.347319575273731,0.001,0.21,""
"185","Xestospongia muta vs Neopetrosia chaliniformis",1,1.47614448515234,8.30563653119903,0.235249590355338,0.001,0.21,""
"186","Xestospongia muta vs Xestospongia mamillata",1,1.24948404891403,6.79423841682128,0.207177807591235,0.001,0.21,""
"187","Xestospongia muta vs Xestospongia viridenigra",1,3.5802715417773,22.6033105450993,0.438020551517617,0.001,0.21,""
"188","Xestospongia muta vs Petrosia (Petrosia) lignosa",1,1.58618774492442,9.12559717386882,0.259799061314114,0.003,0.63,""
"189","Xestospongia muta vs Neopetrosia ovata",1,2.51478359891145,14.9298333087409,0.347772915896718,0.001,0.21,""
"190","Petrosia (Petrosia) nova spec Curacao vs Neopetrosia eurystomata",1,1.23142865062601,13.3201414244692,0.487557557536618,0.003,0.63,""
"191","Petrosia (Petrosia) nova spec Curacao vs Neopetrosia chaliniformis",1,1.00004770403782,8.42006520350911,0.627423568799607,0.029,1,""
"192","Petrosia (Petrosia) nova spec Curacao vs Xestospongia mamillata",1,0.901590700605981,6.25365009127379,0.609895016467927,0.1,1,""
"193","Petrosia (Petrosia) nova spec Curacao vs Xestospongia viridenigra",1,1.68603415144471,30.3655651646809,0.812661738979486,0.018,1,""
"194","Petrosia (Petrosia) nova spec Curacao vs Petrosia (Petrosia) lignosa",1,1.10168673668583,14.0144175411732,0.777955629658426,0.1,1,""
"195","Petrosia (Petrosia) nova spec Curacao vs Neopetrosia ovata",1,1.16418485881976,13.6557115625121,0.694745215357994,0.016,1,""
"196","Neopetrosia eurystomata vs Neopetrosia chaliniformis",1,1.50843086857485,14.5630230304706,0.492609399771482,0.001,0.21,""
"197","Neopetrosia eurystomata vs Xestospongia mamillata",1,1.22202485841657,11.1344342095836,0.442995219893914,0.003,0.63,""
"198","Neopetrosia eurystomata vs Xestospongia viridenigra",1,3.34617207293107,42.1833339432424,0.712756972827803,0.001,0.21,""
"199","Neopetrosia eurystomata vs Petrosia (Petrosia) lignosa",1,1.51704041124049,16.6669982780641,0.543483197375268,0.003,0.63,""
"200","Neopetrosia eurystomata vs Neopetrosia ovata",1,2.21900186119326,24.130071057847,0.601296494667647,0.001,0.21,""
"201","Neopetrosia chaliniformis vs Xestospongia mamillata",1,0.798111785261378,4.77286287211849,0.488379191908569,0.033,1,""
"202","Neopetrosia chaliniformis vs Xestospongia viridenigra",1,1.8750586025845,23.1458747461431,0.743144154235364,0.006,1,""
"203","Neopetrosia chaliniformis vs Petrosia (Petrosia) lignosa",1,1.05311009785309,9.17573622725067,0.647284633415493,0.03,1,""
"204","Neopetrosia chaliniformis vs Neopetrosia ovata",1,1.50625065287253,13.6767104996459,0.661454852786187,0.007,1,""
"205","Xestospongia mamillata vs Xestospongia viridenigra",1,1.52476917548051,16.9172502799135,0.707324215029901,0.008,1,""
"206","Xestospongia mamillata vs Petrosia (Petrosia) lignosa",1,0.996950078608725,7.16342299278786,0.641686962629276,0.1,1,""
"207","Xestospongia mamillata vs Neopetrosia ovata",1,1.24790261774023,9.93340858265147,0.623432740780093,0.021,1,""
"208","Xestospongia viridenigra vs Petrosia (Petrosia) lignosa",1,1.5842862280389,30.0803156003364,0.81122059274122,0.012,1,""
"209","Xestospongia viridenigra vs Neopetrosia ovata",1,2.29334162793588,36.4825792325576,0.802122039869771,0.003,0.63,""
"210","Petrosia (Petrosia) lignosa vs Neopetrosia ovata",1,1.37609432717627,16.7979057873204,0.736817931612953,0.022,1,""
